frame_idx,true,A3_smooth,A5_sustained
0,0.0,0.1111111111111111,0.0
1,0.0,0.1111111111111111,0.0
2,0.0,0.1111111111111111,0.0
3,0.0,0.1111111111111111,0.0
4,0.0,0.1111111111111111,0.0
5,0.0,0.2222222222222222,0.0
6,0.0,0.2222222222222222,0.0
7,0.0,0.2222222222222222,0.0
8,0.0,0.2222222222222222,0.0
9,0.0,0.2222222222222222,0.0
10,0.0,0.2222222222222222,0.0
11,0.0,0.2222222222222222,0.0
12,0.0,0.2222222222222222,0.0
13,0.0,0.2222222222222222,0.0
14,0.0,0.2222222222222222,0.1111111111111111
15,0.0,0.2222222222222222,0.1111111111111111
16,0.0,0.2222222222222222,0.1111111111111111
17,0.0,0.2222222222222222,0.1111111111111111
18,0.0,0.2222222222222222,0.1111111111111111
19,0.0,0.2222222222222222,0.2222222222222222
20,0.0,0.2222222222222222,0.2222222222222222
21,0.0,0.2222222222222222,0.2222222222222222
22,0.0,0.2222222222222222,0.2222222222222222
23,0.0,0.2222222222222222,0.2222222222222222
24,0.0,0.2222222222222222,0.2222222222222222
25,0.0,0.2222222222222222,0.2222222222222222
26,0.0,0.1111111111111111,0.2222222222222222
27,0.0,0.1111111111111111,0.2222222222222222
28,0.0,0.1111111111111111,0.2222222222222222
29,0.0,0.1111111111111111,0.2222222222222222
30,0.0,0.1111111111111111,0.2222222222222222
31,0.0,0.1111111111111111,0.2222222222222222
32,0.0,0.1111111111111111,0.2222222222222222
33,0.0,0.1111111111111111,0.2222222222222222
34,0.0,0.1111111111111111,0.2222222222222222
35,0.0,0.1111111111111111,0.2222222222222222
36,0.0,0.1111111111111111,0.2222222222222222
37,0.0,0.1111111111111111,0.2222222222222222
38,0.0,0.1111111111111111,0.2222222222222222
39,0.0,0.1111111111111111,0.2222222222222222
40,0.0,0.1111111111111111,0.2222222222222222
41,0.0,0.1111111111111111,0.2222222222222222
42,0.0,0.1111111111111111,0.2222222222222222
43,0.0,0.1111111111111111,0.2222222222222222
44,0.0,0.1111111111111111,0.2222222222222222
45,0.0,0.1111111111111111,0.2222222222222222
46,0.0,0.1111111111111111,0.2222222222222222
47,0.0,0.3333333333333333,0.2222222222222222
48,0.0,0.3333333333333333,0.2222222222222222
49,0.0,0.5555555555555556,0.2222222222222222
50,0.0,0.5555555555555556,0.2222222222222222
51,0.0,0.5555555555555556,0.2222222222222222
52,0.0,0.7777777777777778,0.2222222222222222
53,0.0,0.7777777777777778,0.2222222222222222
54,0.0,0.7777777777777778,0.2222222222222222
55,0.0,0.7777777777777778,0.2222222222222222
56,0.0,0.7777777777777778,0.2222222222222222
57,0.0,0.7777777777777778,0.2222222222222222
58,0.0,0.5555555555555556,0.2222222222222222
59,0.0,0.5555555555555556,0.2222222222222222
60,0.0,0.5555555555555556,0.2222222222222222
61,0.0,0.5555555555555556,0.3333333333333333
62,0.0,0.5555555555555556,0.3333333333333333
63,0.0,0.5555555555555556,0.3333333333333333
64,0.0,0.5555555555555556,0.3333333333333333
65,0.0,0.5555555555555556,0.3333333333333333
66,0.0,0.5555555555555556,0.5555555555555556
67,0.0,0.5555555555555556,0.5555555555555556
68,0.0,0.5555555555555556,0.5555555555555556
69,0.0,0.5555555555555556,0.5555555555555556
70,0.0,0.5555555555555556,0.5555555555555556
71,0.0,0.4444444444444444,0.5555555555555556
72,0.0,0.4444444444444444,0.5555555555555556
73,0.0,0.5555555555555556,0.5555555555555556
74,0.0,0.5555555555555556,0.5555555555555556
75,0.0,0.5555555555555556,0.5555555555555556
76,0.0,0.5555555555555556,0.5555555555555556
77,0.0,0.5555555555555556,0.5555555555555556
78,0.0,0.5555555555555556,0.5555555555555556
79,0.0,0.5555555555555556,0.5555555555555556
80,0.0,0.5555555555555556,0.5555555555555556
81,0.0,0.5555555555555556,0.5555555555555556
82,0.0,0.5555555555555556,0.5555555555555556
83,0.0,0.5555555555555556,0.5555555555555556
84,0.0,0.5555555555555556,0.5555555555555556
85,0.0,0.5555555555555556,0.5555555555555556
86,0.0,0.5555555555555556,0.5555555555555556
87,0.0,0.5555555555555556,0.5555555555555556
88,0.0,0.5555555555555556,0.5555555555555556
89,0.0,0.5555555555555556,0.5555555555555556
90,0.0,0.5555555555555556,0.5555555555555556
91,0.0,0.5555555555555556,0.5555555555555556
92,0.0,0.5555555555555556,0.5555555555555556
93,0.0,0.5555555555555556,0.5555555555555556
94,0.0,0.5555555555555556,0.5555555555555556
95,0.0,0.5555555555555556,0.5555555555555556
96,0.0,0.4444444444444444,0.5555555555555556
97,0.0,0.4444444444444444,0.5555555555555556
98,0.0,0.4444444444444444,0.5555555555555556
99,0.0,0.4444444444444444,0.5555555555555556
100,0.0,0.4444444444444444,0.5555555555555556
101,0.0,0.4444444444444444,0.5555555555555556
102,0.0,0.4444444444444444,0.5555555555555556
103,0.0,0.4444444444444444,0.5555555555555556
104,0.0,0.4444444444444444,0.5555555555555556
105,0.0,0.4444444444444444,0.5555555555555556
106,0.0,0.3333333333333333,0.5555555555555556
107,0.0,0.3333333333333333,0.5555555555555556
108,0.0,0.3333333333333333,0.5555555555555556
109,0.0,0.4444444444444444,0.5555555555555556
110,0.0,0.4444444444444444,0.5555555555555556
111,0.0,0.4444444444444444,0.5555555555555556
112,0.0,0.4444444444444444,0.5555555555555556
113,0.0,0.4444444444444444,0.5555555555555556
114,0.0,0.5555555555555556,0.5555555555555556
115,0.0,0.5555555555555556,0.5555555555555556
116,0.0,0.5555555555555556,0.5555555555555556
117,0.0,0.5555555555555556,0.5555555555555556
118,0.0,0.5555555555555556,0.5555555555555556
119,0.0,0.5555555555555556,0.5555555555555556
120,0.0,0.5555555555555556,0.5555555555555556
121,0.0,0.5555555555555556,0.5555555555555556
122,0.0,0.5555555555555556,0.5555555555555556
