crop_mode,macro_f1,hamming_loss,mono_violations,f1_step_27,f1_step_30
full_frame,0.812800663000369,0.11649710752044684,0,0.8,0.9953703703703703
center_crop,0.6125198228668856,0.3522840614402553,0,0.07159904534606204,0.8282442748091603
gaze_crop,0.6436373755660381,0.2557350887692001,0,0.14084507042253522,0.9954128440366972
hand_crop,0.7072262114509559,0.08896868142828646,0,0.0,0.979683972911964
