model,macro_f1,micro_f1,hamming_loss,exact_match,progress_mae,pred_transitions,mono_violations
RF,0.6028731649642047,0.848800446345546,0.16217833632555356,0.2980251346499102,0.15180530620386995,29,23
LR,0.6035147691624363,0.752383979656707,0.31079194095352086,0.14183123877917414,0.28765210452822665,132,114
MLP,0.7039392171096899,0.8512085944494181,0.16576900059844404,0.4524236983842011,0.15140634350688212,81,69
