config,step,f1
mlp_raw,21,0.24193548387096775
mlp_raw,24,0.24193548387096775
mlp_raw,27,0.625
mlp_raw,30,0.7938144329896907
mlp_smooth,21,0.5660377358490566
mlp_smooth,24,0.5660377358490566
mlp_smooth,27,0.888888888888889
mlp_smooth,30,0.7635327635327636
mlp_k3,21,0.5263157894736842
mlp_k3,24,0.5263157894736842
mlp_k3,27,0.8
mlp_k3,30,0.9953703703703703
