recording,auc,num_frames,num_proxy_positive,num_episode_frames,mean_sni_proxy_positive,mean_sni_proxy_negative
22_assy_0_1,0.6478647727532652,2738,437,483,0.5530092780150782,0.4913323356783511
22_assy_2_3,0.2969598340942149,3065,46,560,0.3946168980996792,0.5019855281736691
25_assy_0_1,0.6958123953098827,1798,405,278,0.5666127614189854,0.4807943271636246
25_assy_2_1,0.7907903431159246,1340,222,296,0.5955016613508868,0.4822101575470505
27_assy_0_1,0.8037859221907925,2781,705,536,0.6034071074170766,0.46828390240972223
pooled,0.715961082697183,11722,1815,2153,0.5768038455806057,0.4872377964299292
