method,macro_f1,hamming_loss,exact_match,progress_mae
A3 sensor smooth,0.545309734218705,0.1942546645890766,0.2081984897518878,0.1795517200047944
A5 sensor K=15,0.6217662053386689,0.3836749370729953,0.0309241280115066,0.3709696751767948
B1 DINOv2 MLP raw,0.7039392171096899,0.165769000598444,0.4524236983842011,0.1514063435068821
B2 DINOv2 smooth,0.8010900027364812,0.1360462796728506,0.4775583482944344,0.1280670257330939
Candidate K=3,0.812800663000369,0.1164971075204468,0.6391382405745063,0.1164971075204468
