config,macro_f1,micro_f1,hamming_loss,exact_match,progress_mae,pred_transitions,mono_violations
mlp_raw,0.7039392171096899,0.8512085944494181,0.16576900059844404,0.4524236983842011,0.15140634350688212,81,69
mlp_smooth,0.8010900027364812,0.872856077554064,0.1360462796728506,0.47755834829443444,0.12806702573309398,31,21
mlp_k3,0.812800663000369,0.895677027509825,0.11649710752044684,0.6391382405745063,0.11649710752044685,4,0
