frame_idx,true,mlp_raw,mlp_smooth,mlp_k3
0,0.0,0.6666666666666666,0.5555555555555556,0.0
1,0.0,0.5555555555555556,0.5555555555555556,0.0
2,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
3,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
4,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
5,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
6,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
7,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
8,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
9,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
10,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
11,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
12,0.0,0.4444444444444444,0.5555555555555556,0.5555555555555556
13,0.0,0.4444444444444444,0.5555555555555556,0.5555555555555556
14,0.0,0.1111111111111111,0.5555555555555556,0.5555555555555556
15,0.0,0.1111111111111111,0.5555555555555556,0.5555555555555556
16,0.0,0.1111111111111111,0.5555555555555556,0.5555555555555556
17,0.0,0.0,0.4444444444444444,0.5555555555555556
18,0.0,0.0,0.4444444444444444,0.5555555555555556
19,0.0,0.0,0.3333333333333333,0.5555555555555556
20,0.0,0.0,0.1111111111111111,0.5555555555555556
21,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556
22,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556
23,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556
24,0.0,0.3333333333333333,0.1111111111111111,0.5555555555555556
25,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556
26,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556
27,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556
28,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556
29,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556
30,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556
31,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556
32,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
33,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
34,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
35,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
36,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
37,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556
38,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556
39,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556
40,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556
41,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556
42,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556
43,0.0,0.3333333333333333,0.5555555555555556,0.5555555555555556
44,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
45,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
46,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
47,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
48,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
49,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556
50,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556
51,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.5555555555555556
52,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.5555555555555556
53,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.5555555555555556
54,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.5555555555555556
55,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.5555555555555556
56,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
57,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
58,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
59,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
60,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
61,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
62,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
63,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
64,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
65,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
66,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
67,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
68,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
69,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
70,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
71,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
72,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
73,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
74,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
75,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
76,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
77,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
78,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
79,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
80,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
81,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
82,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
83,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
84,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
85,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
86,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
87,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
88,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
89,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
90,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.5555555555555556
91,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.5555555555555556
92,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.5555555555555556
93,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.5555555555555556
94,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
95,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
96,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
97,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
98,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
99,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
100,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
101,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
102,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
103,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
104,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
105,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
106,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
107,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
108,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
109,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
110,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
111,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
112,0.2222222222222222,0.8888888888888888,0.5555555555555556,0.5555555555555556
113,0.2222222222222222,0.8888888888888888,0.5555555555555556,0.5555555555555556
114,0.2222222222222222,0.8888888888888888,0.5555555555555556,0.5555555555555556
115,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
116,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
117,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
118,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556
119,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
120,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
121,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556
